	CMx	CMy	CMz
	  -0.0132322399	  -0.0024546707	  -0.3952782696
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.5794694659	   0.0413543513	  -9.5416805106
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0131343320	  -0.0022834960	  -0.3977500092
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.5709253994	   0.0440669675	  -9.5055512463
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0131190727	  -0.0021913532	  -0.4002943559
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.5680553798	   0.0459747518	  -9.4684029586
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0131213220	  -0.0021272838	  -0.4029383444
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.5664794615	   0.0473215476	  -9.4137729440
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0130744905	  -0.0020267002	  -0.4064735704
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.5614982416	   0.0486203934	  -9.3085739619
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0128366275	  -0.0018324183	  -0.4106625919
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.5445600075	   0.0493879324	  -9.1437691945
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0124016737	  -0.0016037722	  -0.4133200211
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.5155969215	   0.0479120565	  -9.0011198931
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0121142781	  -0.0015121068	  -0.4136398065
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4929168133	   0.0441100706	  -8.9413607956
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0120162530	  -0.0015608836	  -0.4125691565
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4780549472	   0.0386372115	  -8.9369649217
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0121383454	  -0.0017153286	  -0.4115886202
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4705476678	   0.0329902454	  -8.9487043380
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0122109995	  -0.0018907526	  -0.4099028975
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4599502859	   0.0262575082	  -9.0205166349
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0128165240	  -0.0021733427	  -0.4123408817
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4586839873	   0.0210288415	  -8.9520422122
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0127375618	  -0.0021861883	  -0.4115836637
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4505047472	   0.0189796197	  -9.0114303375
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0128422388	  -0.0022072897	  -0.4125304858
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4433121662	   0.0180856745	  -8.9918875579
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0133006429	  -0.0023354584	  -0.4147692600
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4284628148	   0.0149485447	  -8.9178594372
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0140391840	  -0.0025526489	  -0.4170242748
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.4088901441	   0.0096869092	  -8.8240768177
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0150385374	  -0.0028382002	  -0.4184602024
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.3864818874	   0.0025966729	  -8.7516403945
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0162154261	  -0.0031331764	  -0.4186743386
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.3655264490	  -0.0045654217	  -8.7265670299
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0176463640	  -0.0034085921	  -0.4180436123
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.3458603217	  -0.0103722768	  -8.7520664924
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0189724041	  -0.0035441362	  -0.4168545962
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.3336789861	  -0.0106034992	  -8.8388292487
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0197002774	  -0.0034875779	  -0.4161885082
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.3293023779	  -0.0044793439	  -8.9317416367
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0198043809	  -0.0033504228	  -0.4162049795
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.3267979662	   0.0034399890	  -8.9862955603
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0199264512	  -0.0032605240	  -0.4170221914
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.3134974035	   0.0101385057	  -8.9923938586
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0201450029	  -0.0031433648	  -0.4182317103
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.2834736340	   0.0213653713	  -8.9954042834
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0207910524	  -0.0031432750	  -0.4202215731
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.2325630936	   0.0309316318	  -8.9514288038
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0213851452	  -0.0031764894	  -0.4210473072
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1843036257	   0.0395028942	  -8.9362749875
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0221215746	  -0.0033049109	  -0.4217125336
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1438467543	   0.0422211230	  -8.9132145023
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0226139266	  -0.0034079212	  -0.4214477364
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.1159486988	   0.0441334111	  -8.9179725803
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0232647827	  -0.0035310386	  -0.4212819931
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0804136952	   0.0475006908	  -8.9262748260
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0236027620	  -0.0035928326	  -0.4206371521
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0593534666	   0.0514175538	  -8.9498958089
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0235748573	  -0.0035829368	  -0.4203374519
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0631012144	   0.0525072198	  -8.9611763768
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0233353250	  -0.0035491431	  -0.4199582808
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0817628317	   0.0504648589	  -8.9666672332
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0233158280	  -0.0035571430	  -0.4198162737
Ground state dipole moment (Debye):
	Dx	Dy	Dz
