Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0001694859	  -0.0001897051	  -0.0091736231
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0382513470	  -0.0221500950	   5.5786859345
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000905286	  -0.0002641539	  -0.0121960925
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0177973580	   0.0011036483	   6.0050013293
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000739749	  -0.0002841139	  -0.0149619018
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0062898353	   0.0106949833	   5.6429901810
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000527275	  -0.0003167908	  -0.0219822749
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0112361470	   0.0131107601	   5.2721193846
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000452535	  -0.0003366901	  -0.0267793092
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0040543511	  -0.0008749855	   4.9785926402
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000257957	  -0.0003712446	  -0.0361035977
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0074509270	  -0.0116048824	   4.5005161414
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000222180	  -0.0003698061	  -0.0375927982
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0068267578	  -0.0099683663	   4.5756472293
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000100985	  -0.0003581973	  -0.0409354386
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0002539804	  -0.0040782516	   4.8851027638
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000086788	  -0.0003460844	  -0.0426144924
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0027887295	  -0.0026603933	   5.1095904044
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000179529	  -0.0003290000	  -0.0452257295
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0036028339	  -0.0024502194	   5.4107653886
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000336591	  -0.0003218414	  -0.0471042792
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0014959258	  -0.0033519549	   5.5482639281
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000523046	  -0.0003215726	  -0.0492022493
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0013252063	  -0.0040778360	   5.5894307481
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000730121	  -0.0003272905	  -0.0518875842
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0040924922	  -0.0044960572	   5.5467744090
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000903709	  -0.0003365253	  -0.0547990692
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0053088634	  -0.0045549786	   5.4326772587
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000980225	  -0.0003421447	  -0.0569033298
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0041379800	  -0.0044267746	   5.3144955940
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000988000	  -0.0003405942	  -0.0581793236
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0013141224	  -0.0045130378	   5.2559813152
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0000990166	  -0.0003307149	  -0.0591092743
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0025939953	  -0.0051947389	   5.2711869750
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0001061589	  -0.0003123308	  -0.0597890802
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0066227235	  -0.0065846905	   5.3690001913
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0001272042	  -0.0002913535	  -0.0600376293
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0080698917	  -0.0080137053	   5.5102439250
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0001605052	  -0.0002740425	  -0.0599652942
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0057014412	  -0.0083601633	   5.6261267048
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0001978310	  -0.0002610294	  -0.0599879846
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0011704483	  -0.0074693869	   5.6878920637
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0002325646	  -0.0002481757	  -0.0605071842
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0033816773	  -0.0057614931	   5.6994542490
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0002590284	  -0.0002310705	  -0.0617053658
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0062392924	  -0.0040310506	   5.6753014770
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0002718886	  -0.0002077393	  -0.0634387568
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0060305524	  -0.0030889274	   5.6379492261
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0002731934	  -0.0001781119	  -0.0654812339
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0033368474	  -0.0032390633	   5.6085716120
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0002691656	  -0.0001462640	  -0.0674413760
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0003709633	  -0.0044430553	   5.6036478586
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0002681751	  -0.0001256435	  -0.0685253291
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0023975405	  -0.0056542102	   5.6266079813
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0002737091	  -0.0001197343	  -0.0687359942
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0020277667	  -0.0063615842	   5.6584142487
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0002842966	  -0.0001205887	  -0.0686580317
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0004611440	  -0.0063660002	   5.6934400664
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003017660	  -0.0001231907	  -0.0686245774
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0020043122	  -0.0058518245	   5.7430069480
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003234290	  -0.0001236521	  -0.0688931977
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0043539191	  -0.0049165325	   5.8001499055
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003356682	  -0.0001191957	  -0.0694902334
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0049327002	  -0.0041206992	   5.8372984678
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003356185	  -0.0001103461	  -0.0701746262
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0037024309	  -0.0038886635	   5.8480865394
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003272386	  -0.0000997108	  -0.0708306299
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0012706978	  -0.0043221346	   5.8452486013
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003165294	  -0.0000847591	  -0.0717257527
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0017466984	  -0.0050485803	   5.8379665343
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003115029	  -0.0000720066	  -0.0726729743
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0044016921	  -0.0059405435	   5.8314392533
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003231311	  -0.0000719054	  -0.0732675326
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0042966559	  -0.0065150922	   5.8376138704
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003478645	  -0.0000859030	  -0.0733217392
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0014641126	  -0.0059792669	   5.8544562127
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003705703	  -0.0001031226	  -0.0732082502
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0016772253	  -0.0050690427	   5.8683774518
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003869284	  -0.0001180449	  -0.0732305209
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0040368072	  -0.0041412691	   5.8808269897
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003911038	  -0.0001251690	  -0.0734774054
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0046241186	  -0.0038119374	   5.8899221595
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003843000	  -0.0001262073	  -0.0738521345
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0036162763	  -0.0039410983	   5.8949533312
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003695386	  -0.0001248615	  -0.0741920211
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0020376535	  -0.0044745275	   5.8953655696
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003487316	  -0.0001235497	  -0.0745583809
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0000079086	  -0.0054926848	   5.8973023541
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003296944	  -0.0001256395	  -0.0748416065
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0014141360	  -0.0064130751	   5.9002746061
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003233938	  -0.0001320535	  -0.0748403991
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.0012207177	  -0.0067470396	   5.9004016792
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003286857	  -0.0001407355	  -0.0747190496
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0001913208	  -0.0064533508	   5.9013734009
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003389016	  -0.0001482677	  -0.0745588555
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0018833764	  -0.0058510206	   5.8997232792
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003515416	  -0.0001545996	  -0.0744435318
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0038030823	  -0.0049336686	   5.8974404410
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003553229	  -0.0001549626	  -0.0744044306
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0045361698	  -0.0044232692	   5.8932990168
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003481352	  -0.0001496211	  -0.0744416142
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0037566565	  -0.0045632107	   5.8918677103
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0003336358	  -0.0001423995	  -0.0744711409
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	   0.0023578448	  -0.0052084725	   5.8931964767
Center of Mass (Angs):
	CMx	CMy	CMz
